epoch	train_loss	val_loss	val_mIoU	val_OA
19	0.348288	0.326067	0.727949	0.898091
20	0.361767	0.858057	0.507693	0.788888
21	0.383790	12.082182	0.100629	0.516552
22	0.410481	8.248036	0.218125	0.664140
23	0.364661	2.137567	0.289004	0.398389
24	0.334503	0.906126	0.440899	0.596131
25	0.326653	0.318146	0.749852	0.898615
26	0.331910	0.419523	0.708963	0.859700
27	0.337577	0.369616	0.693645	0.865845
28	0.339705	0.967830	0.482326	0.756574
29	0.336731	0.330781	0.705922	0.883218
30	0.299136	0.356530	0.711207	0.868702
31	0.297009	0.417702	0.684086	0.862976
32	0.318178	0.502160	0.636886	0.825136
33	0.296342	0.426523	0.634633	0.827713
34	0.298991	0.316079	0.756565	0.896450
35	0.331631	0.598325	0.555351	0.833904
36	0.316261	0.347683	0.732764	0.889675
37	0.308709	0.392460	0.685428	0.864894
38	0.297115	0.660215	0.572461	0.746070
39	0.301961	0.434669	0.643248	0.841082
40	0.288453	0.298293	0.770378	0.900410
41	0.292226	0.403146	0.693300	0.856833
42	0.294137	0.345087	0.744204	0.872495
43	0.286161	0.376743	0.697430	0.871846
44	0.269974	0.579075	0.629308	0.813408
45	0.263601	0.314010	0.767832	0.897869
46	0.287582	0.296224	0.767268	0.903537
47	0.256553	0.334214	0.729975	0.888581
48	0.287152	0.422169	0.692770	0.869877
49	0.267125	0.325720	0.753102	0.903282
50	0.273671	0.305412	0.768232	0.903856
51	0.255259	0.283026	0.765639	0.905487
52	0.255396	0.291944	0.772866	0.903709
53	0.236159	0.274662	0.784201	0.911892
54	0.248389	0.279957	0.779712	0.909760
55	0.250407	0.275552	0.782129	0.911666
56	0.247745	0.340518	0.745925	0.887631
57	0.239300	0.281392	0.782705	0.911795
58	0.257324	0.314494	0.745273	0.895558
59	0.269952	0.500291	0.649145	0.818987
60	0.262247	0.285666	0.765247	0.900504
61	0.242650	0.263659	0.783796	0.911513
62	0.236730	0.298471	0.764524	0.899796
63	0.230094	0.293460	0.775026	0.907177
64	0.226904	0.276698	0.785125	0.911503
65	0.233117	0.285623	0.769872	0.907393
66	0.244663	0.367339	0.727491	0.866022
67	0.250087	0.261820	0.790636	0.914580
68	0.241568	0.279713	0.775252	0.906910
69	0.238553	0.273369	0.781023	0.910312
70	0.234229	0.274434	0.782570	0.910962
71	0.217038	0.261973	0.788228	0.913117
72	0.217846	0.307556	0.761508	0.885573
73	0.216945	0.269818	0.786452	0.912121
74	0.211880	0.269229	0.780313	0.909953
75	0.216310	0.264104	0.778832	0.909817
76	0.207199	0.316436	0.748039	0.865563
77	0.206610	0.279639	0.776030	0.898126
78	0.209800	0.287115	0.769143	0.894147
79	0.211105	0.287112	0.786227	0.912573
80	0.207317	0.270519	0.782415	0.899398
81	0.199575	0.276112	0.796879	0.914259
82	0.205407	0.250291	0.790930	0.913276
83	0.209156	0.301172	0.758283	0.883345
84	0.192638	0.261090	0.786493	0.912849
85	0.188401	0.255911	0.787411	0.913703
86	0.190946	0.252399	0.791341	0.914494
87	0.186902	0.263517	0.784326	0.906509
88	0.191982	0.261291	0.790988	0.913148
89	0.181213	0.261865	0.789701	0.913468
90	0.194267	0.262313	0.781325	0.908176
91	0.179315	0.254703	0.787280	0.911150
92	0.206319	0.254889	0.788753	0.910551
93	0.182892	0.255353	0.790274	0.911890
94	0.185970	0.253991	0.791398	0.914137
95	0.181301	0.257022	0.791876	0.914765
96	0.181022	0.258809	0.792289	0.915044
97	0.179259	0.259822	0.792382	0.914969
98	0.182243	0.258979	0.792944	0.915238
99	0.176474	0.258044	0.792612	0.914879
100	0.182319	0.259291	0.793271	0.915223
1	1.137247	49.277194	0.093149	0.452404
2	0.652826	1.321199	0.147620	0.563424
3	0.573306	1.373326	0.182502	0.609272
4	0.516816	1.494282	0.131647	0.563245
5	0.533018	1.051003	0.236848	0.657728
6	0.457515	0.665450	0.396226	0.779138
7	0.438243	0.471749	0.513890	0.842504
8	0.414343	0.400645	0.521068	0.863367
9	0.401156	0.771834	0.330695	0.708972
10	0.374342	0.365987	0.541517	0.873627
11	0.373929	0.979681	0.320667	0.714298
12	0.393237	0.890076	0.340809	0.755987
13	0.357240	1.116489	0.288331	0.632103
14	0.353970	0.468154	0.503647	0.831980
15	0.394168	1.293275	0.242246	0.593397
